epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.687,1.82841,3.38596,1.59404,0.00597,0.59727,0.07359,0.03542,1.61571,3.23921,1.35339,0.0682767,0.000981132,0.000981132
2,113.769,1.68114,2.36063,1.45506,0.50576,0.37434,0.36451,0.16062,1.859,2.09979,1.39619,0.0359432,0.00198092,0.00198092
3,166.076,1.70022,1.84598,1.40313,0.39955,0.29232,0.26602,0.11869,1.92247,2.17471,1.55883,0.00360878,0.00297985,0.00297985
4,217.876,1.71337,1.75892,1.40743,0.44503,0.38381,0.34287,0.15122,1.91935,3.01475,1.65198,0.0029971,0.0029971,0.0029971
5,270.561,1.70173,1.69113,1.40052,0.4785,0.39117,0.3835,0.17496,1.84261,1.91992,1.53479,0.00299484,0.00299484,0.00299484
6,322.717,1.67444,1.60732,1.3743,0.42954,0.35542,0.34203,0.15816,1.83912,1.95638,1.51175,0.00299195,0.00299195,0.00299195
7,374.664,1.64214,1.54519,1.35799,0.48651,0.34385,0.3526,0.16859,1.85183,1.95813,1.51373,0.00298841,0.00298841,0.00298841
8,427.418,1.6508,1.51388,1.35473,0.4979,0.47424,0.45824,0.21652,1.67562,1.68207,1.39362,0.00298423,0.00298423,0.00298423
9,479.153,1.6447,1.4919,1.34143,0.5284,0.42768,0.43121,0.20716,1.76437,1.72887,1.44453,0.00297941,0.00297941,0.00297941
10,530.813,1.61808,1.4309,1.33933,0.53829,0.51525,0.51411,0.25881,1.65744,1.58413,1.33123,0.00297396,0.00297396,0.00297396
11,583.438,1.60646,1.40672,1.32385,0.52225,0.44059,0.44917,0.22685,1.71376,1.6186,1.3965,0.00296788,0.00296788,0.00296788
12,636.493,1.5966,1.38583,1.3253,0.56833,0.46477,0.47915,0.24203,1.72121,1.56103,1.40704,0.00296116,0.00296116,0.00296116
13,687.644,1.58561,1.3714,1.31059,0.55809,0.43849,0.45523,0.22198,1.74825,1.5626,1.35819,0.00295382,0.00295382,0.00295382
14,740.79,1.58929,1.36878,1.30816,0.53886,0.40694,0.44369,0.23309,1.70482,1.61964,1.36967,0.00294585,0.00294585,0.00294585
15,792.065,1.56405,1.33133,1.29673,0.60134,0.40446,0.42665,0.21603,1.76453,1.82236,1.41966,0.00293726,0.00293726,0.00293726
16,843.998,1.56,1.30949,1.29297,0.63061,0.48265,0.53807,0.28169,1.6522,1.41602,1.3444,0.00292805,0.00292805,0.00292805
17,896.658,1.56593,1.31298,1.30206,0.56151,0.40262,0.43258,0.22027,1.74189,1.56694,1.37555,0.00291823,0.00291823,0.00291823
18,949.349,1.53937,1.28063,1.28357,0.58776,0.45321,0.47021,0.23434,1.74754,1.4977,1.39604,0.0029078,0.0029078,0.0029078
19,1001.54,1.52049,1.25718,1.27422,0.60059,0.46477,0.50982,0.27273,1.64156,1.45875,1.29946,0.00289677,0.00289677,0.00289677
20,1054.44,1.52415,1.2358,1.26883,0.66235,0.49298,0.53553,0.278,1.63325,1.34133,1.28895,0.00288514,0.00288514,0.00288514
21,1106.78,1.52124,1.24583,1.2726,0.63313,0.52471,0.56515,0.30434,1.57355,1.33857,1.30819,0.00287291,0.00287291,0.00287291
22,1159.22,1.50901,1.22249,1.2649,0.69337,0.5184,0.58949,0.31268,1.53524,1.29526,1.25435,0.0028601,0.0028601,0.0028601
23,1213.1,1.51235,1.22312,1.26577,0.66017,0.5163,0.57947,0.31544,1.57017,1.22234,1.2675,0.0028467,0.0028467,0.0028467
24,1265.16,1.49746,1.21072,1.26011,0.63652,0.53628,0.57034,0.30687,1.59668,1.29995,1.27878,0.00283272,0.00283272,0.00283272
25,1318.46,1.48302,1.18498,1.24843,0.65911,0.55626,0.60391,0.32685,1.52949,1.21905,1.24184,0.00281817,0.00281817,0.00281817
26,1372.08,1.48271,1.18099,1.24186,0.67921,0.57834,0.62941,0.33906,1.54912,1.15843,1.26198,0.00280306,0.00280306,0.00280306
27,1425.08,1.48464,1.1862,1.25528,0.66736,0.56887,0.6223,0.34619,1.52022,1.15186,1.25124,0.00278739,0.00278739,0.00278739
28,1477.31,1.4726,1.16126,1.23273,0.72025,0.56042,0.63529,0.35315,1.46291,1.14219,1.20564,0.00277116,0.00277116,0.00277116
29,1529.89,1.46689,1.15527,1.2347,0.65853,0.55521,0.59296,0.31754,1.50807,1.25385,1.26415,0.00275439,0.00275439,0.00275439
30,1583.28,1.45046,1.14342,1.22508,0.68225,0.50123,0.58028,0.31663,1.51546,1.2399,1.22069,0.00273709,0.00273709,0.00273709
31,1636.28,1.46161,1.13077,1.23644,0.68093,0.53858,0.58264,0.31088,1.5723,1.21873,1.28602,0.00271925,0.00271925,0.00271925
32,1688.08,1.46241,1.14158,1.23833,0.69241,0.58465,0.62756,0.33508,1.58388,1.18415,1.2558,0.0027009,0.0027009,0.0027009
33,1741.25,1.43621,1.10492,1.21827,0.69517,0.54784,0.60573,0.31739,1.5529,1.21437,1.26795,0.00268203,0.00268203,0.00268203
34,1794.51,1.43637,1.09561,1.22083,0.69692,0.57308,0.61503,0.33183,1.54859,1.15886,1.28422,0.00266265,0.00266265,0.00266265
35,1847.62,1.43747,1.09509,1.21234,0.69043,0.60273,0.64857,0.36312,1.49388,1.08319,1.2274,0.00264278,0.00264278,0.00264278
36,1900.29,1.43869,1.08753,1.21357,0.6848,0.59626,0.63823,0.36707,1.45326,1.08786,1.1986,0.00262242,0.00262242,0.00262242
37,1952.14,1.41469,1.07206,1.21003,0.65104,0.54146,0.58005,0.32451,1.53539,1.21621,1.26903,0.00260158,0.00260158,0.00260158
38,2006.03,1.42729,1.06267,1.21107,0.67642,0.56491,0.6118,0.33831,1.48511,1.15356,1.21257,0.00258027,0.00258027,0.00258027
39,2057.9,1.42491,1.08116,1.19937,0.72371,0.56151,0.62785,0.35279,1.48171,1.11135,1.21891,0.00255851,0.00255851,0.00255851
40,2110.53,1.41109,1.05779,1.20001,0.65986,0.58341,0.63079,0.34499,1.53088,1.15375,1.24692,0.00253628,0.00253628,0.00253628
41,2164.8,1.39799,1.04434,1.20031,0.75012,0.57766,0.6653,0.37943,1.4358,1.06207,1.19573,0.00251362,0.00251362,0.00251362
42,2218.85,1.39797,1.0456,1.19255,0.68342,0.60382,0.64697,0.36903,1.46417,1.08775,1.21961,0.00249053,0.00249053,0.00249053
43,2271.32,1.40245,1.02929,1.19251,0.74043,0.61199,0.67029,0.37491,1.4468,1.04731,1.20949,0.00246701,0.00246701,0.00246701
